,Parameter:,Unit:,Year:,Source:,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote Dlvoire,Djibouti,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe ,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe,China,USA,Sri Lanka,India,Bangladesh
Water,Long-term annual precip depth,mm/year,2014,FAO Aquastat,1010,1039,416,748,1274,228,1604,1343,322,900,1543,1646,1348,220,2156,384,848,1831,836,1187,1651,1577,630,788,2391,1513,1181,282,92,2041,1032,285,151,1150,1212,3200,686,2330,2526,282,495,900,250,788,1071,1168,1180,1020,657,,,,,
,Total renewable water sources,10^9 m^3/yr,2014,FAO Aquastat,148.4,1.8,1.7,9.5,7.47,0.3,283.1,141,45.7,1.2,1283,832,84.14,0.3,26,7.315,122,166,8,56.2,226,31.4,30.7,3.022,232,337,17.28,120,11.4,2.751,217.1,39.91,34.05,286.2,13.3,2.18,38.97,NaN,160,14.7,51.35,24,37.8,4.51,96.27,14.7,60.1,104.8,20,,,,,
,Dependency ratio,%,2014,FAO Aquastat,0.2695,26.39,12.24,13.5,12.54,0,3.585,0,67.18,0,29.85,73.32,8.676,0,0,61.72,0,1.205,62.5,46.09,0,49.04,32.57,0,13.79,0,6.597,50,96.49,0,53.8,84.57,89.72,22.78,28.57,0,33.8,0,0,59.18,12.84,65.79,96.13,41.46,12.75,21.77,35.11,23.47,38.7,,,,,
,Groundwater resources,%,2014,FAO Aquastat,NaN,NaN,NaN,NaN,NaN,NaN,35.3,NaN,NaN,83.33333333,NaN,NaN,41.6,5,38.46153846,NaN,NaN,37.34939759,6.25,NaN,NaN,NaN,11.4,16.5,NaN,16.32047478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.981267642,NaN,0.15625,NaN,NaN,16.66666667,NaN,NaN,NaN,NaN,29,NaN,NaN,,,,,
,Interannual variability,dim-less,2013,WRI,2.5,1.2,3.8,1.5,1.4,NaN,0.9,1.2,1.9,NaN,1.2,0.8,1.1,4.3,0.8,4.3,1.8,0.9,2,1.4,0.9,1.5,3.2,3.2,0.8,1.4,1.6,1.3,1.8,NaN,3.5,3.6,1.9,1.2,1.4,NaN,1.8,NaN,0.6,2.9,3,1.5,1.4,4.2,2.7,1.3,1.7,2.1,3.1,,,,,
,Seasonal variability,dim-less,2013,WRI,3.1,3,2.4,4,2.4,NaN,3.5,3.6,3.8,NaN,2.3,1.8,2.8,2,2.5,3.8,3.3,2.1,4.6,3,4,4.6,1.9,1.9,2.8,3.5,3.8,4,3.2,NaN,3.3,2.5,3.6,3.6,2.1,NaN,3.9,NaN,3.6,1.7,2.1,2.5,3.5,2.8,3.2,3,1.6,4.4,3.7,,,,,
,Flood occurrence,dim-less,2013,WRI,1.7,3.6,2.1,3.3,3.3,NaN,2.2,2.3,3,1.6,1.9,1.7,2.3,2.9,0,2.5,3.2,0.7,1.5,3,1.1,1,3.8,3.3,1.9,2.6,3.3,2.6,2.5,NaN,3,2.1,3.4,3.1,3.6,NaN,2.5,NaN,1.6,3.8,2.8,2.5,3.3,3.1,3.1,3.1,3.6,2.5,2.8,,,,,
,Drought frequency,# events,2016,EM-DAT,7,2,6,13,6,10,5,1,11,1,2,1,1,9,0,3,16,0,9,3,2,6,15,7,1,8,8,11,13,1,13,8,15,1,6,1,10,0,0,15,9,1,9,6,10,3,9,5,7,,,,,
,Total Water Withdrawal,%,2000,FAO Aquastat,0.7058,0.13,0.194,0.818,0.288,0.022,0.9664,0.0725,0.8796,0.01,0.6836,0.046,1.549,0.019,0.0174,0.582,10.55,0.1391,0.0905,0.982,0.5533,0.175,3.218,0.0438,0.1308,13.56,1.325,5.186,1.35,0.725,1.473,0.288,0.9836,12.47,0.15,0.007,2.221,0.0137,0.2122,3.298,15.5,0.658,26.93,1.042,5.184,0.169,0.637,1.572,3.57,,,,,
,Municipal Water Withdrawal,%,2005,FAO Aquastat,20.78,45.38,41.24,51.43,77.08,90.91,76.26,0.5517,76.42,47,10.52,8.696,38.43,15.79,5.747,94.5,91.82,28.97,43.31,66.4,52.94,82.29,59.26,8.676,9.404,95.87,88,97.86,90.59,67.72,0.372,69.79,66.74,44.19,68,,92.98,6.569,21.54,99.48,62.52,36.47,96.21,96.55,89.35,44.97,40.66,73.28,82.07,,,,,
